,Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
3120824,73d5e9d6f9f145,edbce070d4ee9d,a10357fd1a4a91,0,0,0.0,0,0,0,68,1189,0,0,0.0,1306,squad-fpp,28,26,-1,1,0.0,0,0.0,0,0,226.9,2,1441,0.2963
3124027,8d7d8bcb5d4d60,654c638629b8fc,a10357fd1a4a91,0,0,0.0,0,0,0,58,978,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,385.4,3,1444,0.4815
3269227,276ac7f679cbf8,d7d1cd054b0f5b,a10357fd1a4a91,0,0,0.0,0,0,0,94,1273,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,0.0,0,1517,0.0
3319765,0e5e77e2e1a1f7,92a09f0a596787,a10357fd1a4a91,0,0,100.0,1,0,0,22,1536,2,1,17.34,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,49.8,1,1537,0.3333
3331756,d2f87da2ce75d3,edbce070d4ee9d,a10357fd1a4a91,0,0,128.0,0,0,1,37,1315,1,1,15.48,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,1,0,100.8,2,1429,0.2963
3348506,53538a95db02af,5112ebf44e9575,a10357fd1a4a91,0,1,60.69,0,0,1,41,1090,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,2710.0,5,1514,0.963
3357100,ef6a196bfe15f7,432b8256f23c7e,a10357fd1a4a91,0,0,0.0,0,0,0,80,1393,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,48.99,1,1509,0.1111
3389153,708270149325da,168d1fc8ebe03c,a10357fd1a4a91,0,0,34.3,0,0,0,53,1377,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,1811.0,3,1491,0.7407
3547180,94fb9a72496f58,432b8256f23c7e,a10357fd1a4a91,0,0,41.0,0,0,0,81,1521,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,17.49,1,1489,0.1111
3692199,cde20a5d1c073d,3fe42857a5d0e3,a10357fd1a4a91,1,6,420.1,6,0,1,1,1739,7,2,84.51,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,4184.0,4,1590,1.0
3759340,9a0fa38ef955dc,2cdf256e3c2c1d,a10357fd1a4a91,1,0,100.0,1,1,0,32,1243,1,1,11.45,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,367.5,2,1535,0.5926
3790693,32f9453f2f560d,80d9f9014c6e68,a10357fd1a4a91,0,0,0.0,0,0,0,87,1000,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,27.15,1,1500,0.0741
3794495,bc3165e8591dc6,654c638629b8fc,a10357fd1a4a91,0,0,0.0,0,0,0,59,966,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,13.05,0,1433,0.4815
3805526,2856b61c02d4ae,69c3ba1a23df2a,a10357fd1a4a91,0,2,102.0,0,0,0,25,1442,1,1,38.99,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,2972.0,3,1529,0.9259
3812063,cb270510a012db,5112ebf44e9575,a10357fd1a4a91,1,6,133.0,0,0,1,43,1472,0,0,0.0,1306,squad-fpp,28,26,-1,0,265.5,0,0.0,0,0,2834.0,3,1520,0.963
3823932,30693fde888b55,2f8336736f3be2,a10357fd1a4a91,0,0,0.0,0,0,0,74,1000,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,114.3,2,1500,0.1852
3900974,b8d6fd357b4364,a269f08371068b,a10357fd1a4a91,0,0,28.59,0,0,1,89,1441,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,55.56,1,1445,0.037
3901118,b5594651b8c66e,654c638629b8fc,a10357fd1a4a91,1,1,100.0,1,0,0,56,1188,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,441.6,2,1504,0.4815
3910749,37e2da1e80c3d2,654c638629b8fc,a10357fd1a4a91,2,0,312.1,2,1,0,17,1667,2,2,20.23,1306,squad-fpp,28,26,-1,1,0.0,0,0.0,1,0,291.1,7,1567,0.4815
3958182,a0c641301a7bee,64903e9ba2e503,a10357fd1a4a91,0,1,403.1,3,0,0,4,1692,4,2,15.85,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,1322.0,5,1584,0.6296
4069435,cbdedb870ab585,74898d59ac4879,a10357fd1a4a91,0,1,0.0,0,0,0,47,1000,0,0,0.0,1306,squad-fpp,28,26,-1,1,0.0,0,0.0,0,0,2726.0,6,1500,0.8519
4135251,9d31bc362c0d27,2af5c87d86546d,a10357fd1a4a91,0,0,37.52,0,0,0,54,1061,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,684.4,3,1476,0.5556
4156932,bbad1ea747e4df,30e393959e45ac,a10357fd1a4a91,0,3,116.1,1,1,1,27,1460,1,1,2.098,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,2806.0,6,1494,0.8889
4171661,bec88d52637cb3,168d1fc8ebe03c,a10357fd1a4a91,0,1,144.2,1,1,0,3,1440,4,2,77.23,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,1748.0,3,1482,0.7407
4250152,3c110731e293c7,74898d59ac4879,a10357fd1a4a91,0,3,0.0,0,0,6,46,1000,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,3287.0,5,1500,0.8519
4342185,e567ff2f93e0e3,64903e9ba2e503,a10357fd1a4a91,1,1,107.5,1,1,0,15,1832,2,2,5.123,1306,squad-fpp,28,26,-1,1,0.0,0,0.0,0,0,1244.0,3,1609,0.6296
4418672,d56dc7298d29c0,7e5fb71e05a678,a10357fd1a4a91,0,0,426.0,4,1,0,8,1027,3,1,31.2,1306,squad-fpp,28,26,-1,2,144.8,0,0.0,0,0,2160.0,7,1483,0.8148
